Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (DrugBank)
A0A386IPW2,A0A386IPW2_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
A0A386IPW3,A0A386IPW3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1,BRCA1,Homo sapiens (Human),
A0A386IPW4,A0A386IPW4_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
A0A386IPW7,A0A386IPW7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1,BRCA1,Homo sapiens (Human),
A0A386IPY5,A0A386IPY5_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1,BRCA1,Homo sapiens (Human),
A0A386IPY7,A0A386IPY7_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
A0A386IPY8,A0A386IPY8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1,BRCA1,Homo sapiens (Human),
A0A386IQ58,A0A386IQ58_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
A0A386IQ64,A0A386IQ64_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
A0A386IQ66,A0A386IQ66_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
A0A386L1T8,A0A386L1T8_HUMAN,Breast cancer 1 (Fragment),BRCA1,Homo sapiens (Human),
B7ZA85,B7ZA85_HUMAN,"Breast cancer type 1 susceptibility protein (cDNA, FLJ79099, highly similar to Homo sapiens breast cancer 1, early onset (BRCA1), transcript variant BRCA1-delta 11b, mRNA) (Fragment)",BRCA1,Homo sapiens (Human),
C4PFY7,C4PFY7_HUMAN,BRCA1 (Fragment),BRCA1,Homo sapiens (Human),
C6YB45,C6YB45_HUMAN,BRCA1 isoform E1aA-Delta 2-17 (Breast cancer type 1 susceptibility protein),BRCA1,Homo sapiens (Human),
C6YB47,C6YB47_HUMAN,Breast and ovarian cancer sususceptibility protein,BRCA1,Homo sapiens (Human),
C9IZW4,C9IZW4_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
E7ENB7,E7ENB7_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
E7EQW4,E7EQW4_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
E7EUM2,E7EUM2_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
E7EWN5,E7EWN5_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
E9PC22,E9PC22_HUMAN,Breast cancer type 1 susceptibility protein,BRCA1,Homo sapiens (Human),
E9PH68,E9PH68_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
G1UI37,G1UI37_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
G3XAC3,G3XAC3_HUMAN,"Breast cancer 1, early onset, isoform CRA_l",BRCA1 hCG_16943,Homo sapiens (Human),
G4V4Z7,G4V4Z7_HUMAN,Breast cancer associated protein 1 (Fragment),BRCA1,Homo sapiens (Human),
G4V4Z8,G4V4Z8_HUMAN,Breast cancer associated protein 1 (Fragment),BRCA1,Homo sapiens (Human),
G4V500,G4V500_HUMAN,Breast cancer associated protein 1 (Fragment),BRCA1,Homo sapiens (Human),
G4V502,G4V502_HUMAN,Breast cancer associated protein 1 (Fragment),BRCA1,Homo sapiens (Human),
G4V503,G4V503_HUMAN,Breast cancer associated protein 1 (Fragment),BRCA1,Homo sapiens (Human),
G8I0D8,G8I0D8_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
H0Y850,H0Y850_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
H0Y881,H0Y881_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
H0Y8B8,H0Y8B8_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
H0Y8D8,H0Y8D8_HUMAN,Breast cancer type 1 susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
H6TXS1,H6TXS1_HUMAN,Breast cancer type 1 susceptibility protein (EC 6.3.2.-) (Fragment),BRCA1,Homo sapiens (Human),
K4JTS0,K4JTS0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4JUB1,K4JUB1_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4JUB6,K4JUB6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4JWE8,K4JWE8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4JXS7,K4JXS7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4JXT2,K4JXT2_HUMAN,Breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4K7U9,K4K7U9_HUMAN,Breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K4K7V3,K4K7V3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
K7EJW3,K7EJW3_HUMAN,Breast cancer type 1 susceptibility protein,BRCA1,Homo sapiens (Human),
K7EPC7,K7EPC7_HUMAN,Breast cancer type 1 susceptibility protein,BRCA1,Homo sapiens (Human),
P38398,BRCA1_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1),BRCA1 RNF53,Homo sapiens (Human),
Q05BZ9,Q05BZ9_HUMAN,BRCA1 protein (Fragment),BRCA1,Homo sapiens (Human),
Q3B890,Q3B890_HUMAN,BRCA1 protein (Fragment),BRCA1,Homo sapiens (Human),
Q3B891,Q3B891_HUMAN,BRCA1 protein (Breast cancer type 1 susceptibility protein) (Fragment),BRCA1,Homo sapiens (Human),
Q3LRH8,Q3LRH8_HUMAN,Breast cancer 1 early onset (Early onset breast cancer 1) (Fragment),BRCA1,Homo sapiens (Human),
Q3YB49,Q3YB49_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q3YB50,Q3YB50_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q3YB51,Q3YB51_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q3YB52,Q3YB52_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q3YB53,Q3YB53_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q4EW25,Q4EW25_HUMAN,Breast and ovarian cancer suseptibility protein variant (Fragment),BRCA1,Homo sapiens (Human),
Q5U3B7,Q5U3B7_HUMAN,BRCA1 protein (Fragment),BRCA1,Homo sapiens (Human),
Q5XLT4,Q5XLT4_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q5YLB2,Q5YLB2_HUMAN,Breast cancer type 1 susceptibility protein (EC 2.3.2.27),BRCA1,Homo sapiens (Human),
Q64FK1,Q64FK1_HUMAN,Breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
Q64FK2,Q64FK2_HUMAN,Breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
Q64FK3,Q64FK3_HUMAN,Breast and ovarian cancer susceptibility protein 1 (Fragment),BRCA1,Homo sapiens (Human),
Q6P671,Q6P671_HUMAN,BRCA1 protein (Fragment),BRCA1,Homo sapiens (Human),
Q7KYU6,Q7KYU6_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q7Z606,Q7Z606_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q8IU58,Q8IU58_HUMAN,Truncated breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q8IZK2,Q8IZK2_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q8IZK3,Q8IZK3_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q8IZK4,Q8IZK4_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q8IZT7,Q8IZT7_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA1,Homo sapiens (Human),
Q92897,Q92897_HUMAN,BRCA1 (BRCA1 protein) (Breast cancer 1) (Truncated breast and ovarian cancer susceptibility protein 1) (Fragment),BRCA1,Homo sapiens (Human),
Q9NQR3,Q9NQR3_HUMAN,BRCAI (Breast and ovarian cancer susceptibility protein) (Fragment),BRCA1,Homo sapiens (Human),
Q9UE29,Q9UE29_HUMAN,BRCA1 protein (Fragment),BRCA1,Homo sapiens (Human),
A0A068BC92,A0A068BC92_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BC94,A0A068BC94_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BCA8,A0A068BCA8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BCA9,A0A068BCA9_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BCC2,A0A068BCC2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDS2,A0A068BDS2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDS6,A0A068BDS6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDT0,A0A068BDT0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDU2,A0A068BDU2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDU4,A0A068BDU4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BDV3,A0A068BDV3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BEU0,A0A068BEU0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BEU4,A0A068BEU4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BEV8,A0A068BEV8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BEW3,A0A068BEW3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BEX2,A0A068BEX2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFU2,A0A068BFU2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFU7,A0A068BFU7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFW6,A0A068BFW6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFW8,A0A068BFW8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFX3,A0A068BFX3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BFY4,A0A068BFY4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BI27,A0A068BI27_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BI30,A0A068BI30_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BI47,A0A068BI47_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A068BI50,A0A068BI50_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0A7E6R6,A0A0A7E6R6_HUMAN,Truncated breast cancer type 2 susceptibility protein (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAD2,A0A0F6RAD2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAD4,A0A0F6RAD4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAD6,A0A0F6RAD6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAU4,A0A0F6RAU4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAU6,A0A0F6RAU6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6RAU8,A0A0F6RAU8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TMQ3,A0A0F6TMQ3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TMQ7,A0A0F6TMQ7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TMZ6,A0A0F6TMZ6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TMZ9,A0A0F6TMZ9_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TN25,A0A0F6TN25_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TN92,A0A0F6TN92_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TN97,A0A0F6TN97_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F6TNI0,A0A0F6TNI0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F7CSW3,A0A0F7CSW3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A0F7G9F8,A0A0F7G9F8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A1S5WLI2,A0A1S5WLI2_HUMAN,Truncated breast cancer 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3X9,A0A248X3X9_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Y4,A0A248X3Y4_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Y7,A0A248X3Y7_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Y8,A0A248X3Y8_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Y9,A0A248X3Y9_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z0,A0A248X3Z0_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z1,A0A248X3Z1_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z2,A0A248X3Z2_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z3,A0A248X3Z3_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z4,A0A248X3Z4_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z5,A0A248X3Z5_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A248X3Z6,A0A248X3Z6_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A2S1WCJ3,A0A2S1WCJ3_HUMAN,BRCA2 (Fragment),BRCA2,Homo sapiens (Human),
A0A386IN02,A0A386IN02_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IN05,A0A386IN05_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IN15,A0A386IN15_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IN16,A0A386IN16_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IN22,A0A386IN22_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IN23,A0A386IN23_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IND4,A0A386IND4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386INE3,A0A386INE3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386INF6,A0A386INF6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386ING3,A0A386ING3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386ING9,A0A386ING9_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 variant (Fragment),BRCA2,Homo sapiens (Human),
A0A386INK6,A0A386INK6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386INL2,A0A386INL2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386INM2,A0A386INM2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IP79,A0A386IP79_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IP85,A0A386IP85_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IP91,A0A386IP91_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IP96,A0A386IP96_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPH1,A0A386IPH1_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPH8,A0A386IPH8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPI4,A0A386IPI4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPJ4,A0A386IPJ4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPK0,A0A386IPK0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A0A386IPV1,A0A386IPV1_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV2,A0A386IPV2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV3,A0A386IPV3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV4,A0A386IPV4_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV5,A0A386IPV5_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV6,A0A386IPV6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV8,A0A386IPV8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPV9,A0A386IPV9_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 variant (Fragment),BRCA2,Homo sapiens (Human),
A0A386IPX7,A0A386IPX7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPX8,A0A386IPX8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPY0,A0A386IPY0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IPY1,A0A386IPY1_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IQ46,A0A386IQ46_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IQ50,A0A386IQ50_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IQ54,A0A386IQ54_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2,BRCA2,Homo sapiens (Human),
A0A386IQ62,A0A386IQ62_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
A1YBP1,A1YBP1_HUMAN,Breast and ovarian cancer susceptibility protein 2 truncated variant,BRCA2,Homo sapiens (Human),
H0YD86,H0YD86_HUMAN,Breast cancer type 2 susceptibility protein (Fragment),BRCA2,Homo sapiens (Human),
H0YE37,H0YE37_HUMAN,Breast cancer type 2 susceptibility protein (Fragment),BRCA2,Homo sapiens (Human),
K4JTS7,K4JTS7_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JTT2,K4JTT2_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JTT6,K4JTT6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JUC3,K4JUC3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JUC8,K4JUC8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JWF3,K4JWF3_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JWF8,K4JWF8_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JXT6,K4JXT6_HUMAN,Breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4JXU1,K4JXU1_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4K7V6,K4K7V6_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
K4K7W0,K4K7W0_HUMAN,Truncated breast and ovarian cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
P51587,BRCA2_HUMAN,Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein),BRCA2 FACD FANCD1,Homo sapiens (Human),
Q8IU64,Q8IU64_HUMAN,Breast and ovarian cancer susceptibility protein (Breast cancer susceptibility protein BRCA2) (Fragment),BRCA2,Homo sapiens (Human),
Q8IU77,Q8IU77_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA2,Homo sapiens (Human),
Q8IU82,Q8IU82_HUMAN,Breast and ovarian cancer susceptibility protein (Fragment),BRCA2,Homo sapiens (Human),
Q9BX99,Q9BX99_HUMAN,Mutant early onset breast cancer susceptibility protein 2 (Fragment),BRCA2,Homo sapiens (Human),
Q9H265,Q9H265_HUMAN,BRCA2 protein (Fragment),BRCA2,Homo sapiens (Human),
Q9H4L2,Q9H4L2_HUMAN,Breast cancer 2 tumor suppressor (Fragment),BRCA2,Homo sapiens (Human),
Q9H4L3,Q9H4L3_HUMAN,Breast and ovarian cancer susceptibility protein 2 (Breast cancer 2 tumor suppressor) (Fragment),BRCA2,Homo sapiens (Human),
A0A024R953,A0A024R953_HUMAN,"Troponin T type 2 (Cardiac), isoform CRA_a",TNNT2 hCG_1641227,Homo sapiens (Human),
A0A0A0MRJ4,A0A0A0MRJ4_HUMAN,"Troponin T, cardiac muscle",TNNT2,Homo sapiens (Human),
A0A0A0MRJ5,A0A0A0MRJ5_HUMAN,"Troponin T, cardiac muscle",TNNT2,Homo sapiens (Human),
A9QLG1,A9QLG1_HUMAN,Troponin T type 2 cardiac (Fragment),TNNT2,Homo sapiens (Human),
A9QLG2,A9QLG2_HUMAN,Troponin T type 2 cardiac (Fragment),TNNT2,Homo sapiens (Human),
C9JDF8,C9JDF8_HUMAN,"Troponin T, cardiac muscle (Fragment)",TNNT2,Homo sapiens (Human),
C9JM61,C9JM61_HUMAN,"Troponin T, cardiac muscle (Fragment)",TNNT2,Homo sapiens (Human),
E7EPN8,E7EPN8_HUMAN,"Troponin T, cardiac muscle (Fragment)",TNNT2,Homo sapiens (Human),
E7EPW4,E7EPW4_HUMAN,"Troponin T, cardiac muscle (Fragment)",TNNT2,Homo sapiens (Human),
P45379,TNNT2_HUMAN,"Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)",TNNT2,Homo sapiens (Human),
Q7Z554,Q7Z554_HUMAN,"Troponin T cardiac isoform (Troponin T type 2 (Cardiac), isoform CRA_b) (Troponin T, cardiac muscle)",TNNT2 HNTN1 hCG_1641227,Homo sapiens (Human),
Q8IZA1,Q8IZA1_HUMAN,Cardiac troponin T (Troponin T type 2 cardiac) (Fragment),TNNT2,Homo sapiens (Human),
Q8IZA2,Q8IZA2_HUMAN,Cardiac troponin T (Fragment),TNNT2,Homo sapiens (Human),
C9IYQ7,C9IYQ7_HUMAN,Nucleoporin NUP35 (Fragment),NUP35,Homo sapiens (Human),
C9JIY9,C9JIY9_HUMAN,Nucleoporin NUP35 (Fragment),NUP35,Homo sapiens (Human),
C9JWU7,C9JWU7_HUMAN,Nucleoporin NUP35 (Fragment),NUP35,Homo sapiens (Human),
F8WCF5,F8WCF5_HUMAN,Nucleoporin NUP35,NUP35,Homo sapiens (Human),
F8WEL4,F8WEL4_HUMAN,Nucleoporin NUP35,NUP35,Homo sapiens (Human),
Q8NFH5,NUP35_HUMAN,Nucleoporin NUP35 (35 kDa nucleoporin) (Mitotic phosphoprotein 44) (MP-44) (Nuclear pore complex protein Nup53) (Nucleoporin NUP53),NUP35 MP44 NUP53,Homo sapiens (Human),
